"","player_id","actual_name","player","probowler","all_pro","probowl_seasons","all_pro_seasons","position_type","positon_location","death_year","deathdate","death_location","death_age","height_inches","height","weight","throwing_hand","college","draft_team","draft_year","draft_round","draft_pick","era_name","birthdate","birth_location","birth_year"
"11","ShulJo20","John H. Shultz","Johnny Shultz","FALSE","FALSE",NA,NA,"WR","O",1932,"11/26/32","Ashland, PA",25,73,"6'1","189","","Temple","",NA,NA,NA,"pre-1940","9/8/07","",1907
"12","TurnJi20","James Alfonso Turner","Jim Turner","FALSE","FALSE",NA,NA,"WR","O",1932,"3/28/32","Chicago, IL",32,68,"5'8","165","","Northwestern","",NA,NA,NA,"pre-1940","1899-04-18","Abbeville, SC",1899
"13","RandPr20","Horace Malvern Randels","Proc Randels","FALSE","FALSE",NA,NA,"TE","O",1933,"1/17/33","Salt lake County, UT",32,72,"6'0","180","","Kansas St.","",NA,NA,NA,"pre-1940","1900-08-05","Kansas",1900
"14","LadsTi20","Glessie Mitchell Ladson","Tiny Ladson","FALSE","FALSE",NA,NA,"OL","O",1934,"4/16/34","Sullivan, IN",38,NA,"FALSE","254","","none","",NA,NA,NA,"pre-1940","1895-12-17","Sullivan County, IN",1895
"15","MayxWa20","Walter Orel May","Walt May","FALSE","FALSE",NA,NA,"OL","O",1934,"8/11/34","Peoria, IL",40,73,"6'1","205","","none","",NA,NA,NA,"pre-1940","1894-02-27","Taylorville, IL",1894
"16","GolsGe20","Eugene William Golsen","Gene Golsen","FALSE","FALSE",NA,NA,"RB/FB","O",1935,"11/19/35","Bound Brook, NJ",33,71,"5'11","188","","Georgetown (DC)","",NA,NA,NA,"pre-1940","1902-07-06","",1902
"17","KelsMo20","Christ L. Kelsch","Mose Kelsch","FALSE","FALSE",NA,NA,"RB/FB","O",1935,"7/13/35","Pittsburgh, PA",38,70,"5'10","223","","none","",1933,NA,NA,"pre-1940","1897-01-31","Pittsburgh, PA",1897
"18","SlouEl20","Elmer Cumming Slough","Elmer Slough","FALSE","FALSE",NA,NA,"RB/FB","O",1935,"3/16/35","Potter County,  TX",31,68,"5'8","160","","Oklahoma","",NA,NA,NA,"pre-1940","1903-07-19","Madill, OK",1903
"19","BarrJi20","James Martin Barron","Jim Barron","FALSE","FALSE",NA,NA,"OL","O",1936,"2/6/36","Boston, MA",45,72,"6'0","195","","Georgetown (DC)","",NA,NA,NA,"pre-1940","1890-11-10","South Boston, MA",1890
"20","OtteLo20","Frederic Lowell Otte","Lowell Otte","FALSE","FALSE",NA,NA,"TE","O",1936,"7/20/36","Sidney, IA",32,74,"6'2","180","","Iowa","",NA,NA,NA,"pre-1940","7/20/04","Fremont County, IA",1904
"21","PapeOr20","Oran Henry Pape","Oran Pape","FALSE","FALSE",NA,NA,"RB/FB","O",1936,"4/29/36","Muscatine, IA",32,71,"5'11","180","","Iowa","",1932,NA,NA,"pre-1940","3/10/04","Waupeton, IA",1904
"22","ScotRa20","Ralph Vernon Scott","Ralph Scott","FALSE","FALSE",NA,NA,"OL","O",1936,"8/15/36","Hardin, MT",41,74,"6'2","235","","Wisconsin","",NA,NA,NA,"pre-1940","1894-09-26","Dewey Township, WI",1894
"23","BulaWa20","Walter Daniel Buland","Walt Buland","FALSE","FALSE",NA,NA,"OL","O",1937,"5/25/37","",45,73,"6'1","213","","none","",NA,NA,NA,"pre-1940","1892-02-07","Minneapolis, MN",1892
"24","SingJo20","John Edward Singleton","John Singleton","FALSE","FALSE",NA,NA,"RB/FB","O",1937,"10/23/37","Dayton, OH",40,71,"5'11","175","","none","",NA,NA,NA,"pre-1940","1896-11-27","Gallipolis, OH",1896
"25","WilsMu20","Faye Mule Wilson","Mule Wilson","FALSE","FALSE",NA,NA,"WR","O",1937,"7/18/37","Austin, TX",33,71,"5'11","192","","Texas A&M","",NA,NA,NA,"pre-1940","1903-08-10","Red Oak, TX",1903
"26","GormDo20","Otho Addison Gorman","Doc Gorman","FALSE","FALSE",NA,NA,"TE","O",1938,"9/22/38","Evanston, IL",45,NA,"","FALSE","","St. Louis","",NA,NA,NA,"pre-1940","1893-07-23","Pawnee, IL",1893
"27","GranLe20","Leonard T. Grant","Len Grant","FALSE","TRUE",NA,NA,"OL","O",1938,"8/6/38","Dedham, MA",32,75,"6'3","235","","NYU","",1931,NA,NA,"pre-1940","1/17/06","Boston, MA",1906
"28","RegnPe20","Pierre Napoleon Regnier","Pete Regnier","FALSE","FALSE",NA,NA,"WR","O",1938,"11/30/38","Hennepin County, MN",42,NA,"FALSE","170","","Minnesota","",NA,NA,NA,"pre-1940","1896-09-10","Ghent, MN",1896
"29","SanfJi20","James Leo Sanford","Jim Sanford","FALSE","FALSE",NA,NA,"OL","O",1938,"4/7/38","New Brunswick, NJ",39,68,"5'8","195","","Lehigh","",NA,NA,NA,"pre-1940","1898-12-25","Brooklyn, NY",1898
"30","LoweBu20","George Henry Lowe Jr.","Bull Lowe","FALSE","TRUE",NA,NA,"TE","O",1939,"2/18/39","Boston, MA",43,71,"5'11","180","","Lafayette","",1921,NA,NA,"pre-1940","1895-06-21","Arlington, MA",1895
"31","BolaGe20","George Henry Bolan","George Bolan","FALSE","FALSE",NA,NA,"RB/FB","O",1940,"1/17/40","New York, NY",42,71,"5'11","203","","Purdue","",NA,NA,NA,"pre-1940","1897-04-30","Lake Forest, IL",1897
"32","McCrEd20","Edgar Vincent Frederick McCrillis","Ed McCrillis","FALSE","FALSE",NA,NA,"OL","O",1940,"9/1/40","Warwick, RI",35,72,"6'0","205","","Brown","",NA,NA,NA,"pre-1940","9/7/04","New York, NY",1904
"33","MurpJo20","Joseph Thomas Murphy","Joe Murphy","FALSE","FALSE",NA,NA,"OL","O",1940,"5/21/40","Manchester, NH",43,69,"5'9","215","","Harvard","",NA,NA,NA,"pre-1940","1897-05-15","Concord, NH",1897
"34","PlisJo20","Joseph Stanley Pliska","Joe Pliska","FALSE","FALSE",NA,NA,"RB/FB","O",1940,"8/25/40","Chicago, IL",49,70,"5'10","185","","Notre Dame","",NA,NA,NA,"pre-1940","1890-10-17","Chicago, IL",1890
"35","AbraNa20","Nathan Abrams","Nate Abrams","FALSE","FALSE",NA,NA,"TE","O",1941,"4/30/41","Green Bay, WI",43,64,"5'4","145","","none","",NA,NA,NA,"pre-1940","1897-12-25","Green Bay, WI",1897
"36","JawiHe20","Henry King Jawish","Heinie Jawish","FALSE","FALSE",NA,NA,"OL","O",1941,"3/14/41","Washington, DC",41,68,"5'8","210","","George Washington","",NA,NA,NA,"pre-1940","1900-02-15","",1900
"37","KendJi20","James Marcellus Kendrick","Jim Kendrick","FALSE","FALSE",NA,NA,"RB/FB","O",1941,"11/17/41","Waco, TX",48,72,"6'0","195","","Texas A&M","",NA,NA,NA,"pre-1940","1893-08-22","Hillside, TX",1893
"38","KollLo20","Louis Charles Kolls","Louis Kolls","FALSE","FALSE",NA,NA,"OL","O",1941,"2/24/41","Yorktown Township, IL",48,73,"6'1","205","","St. Ambrose","",NA,NA,NA,"pre-1940","1892-12-15","Chattanooga, TN",1892
"39","McRoWa20","Wade Edward McRoberts","Wade McRoberts","FALSE","FALSE",NA,NA,"OL","O",1941,"11/15/41","Trumbull County, OH",40,72,"6'0","210","","Westminster (PA)","",NA,NA,NA,"pre-1940","1901-01-07","Niles, OH",1901
"40","NessTe20","Theodore Nesser Jr.","Ted Nesser","FALSE","FALSE",NA,NA,"OL","O",1941,"6/7/41","Columbus, OH",58,70,"5'10","230","","none","",NA,NA,NA,"pre-1940","1883-04-05","Denison, OH",1883
"41","YarrTo20","Thomas Cornelius Yarr","Tommy Yarr","FALSE","FALSE",NA,NA,"OL","O",1941,"12/24/41","Chicago, IL",33,70,"5'10","205","","Notre Dame","",NA,NA,NA,"pre-1940","12/4/08","Dabob, WA",1908
"42","BigbLy20","Lyle Randolph Bigbee","Lyle Bigbee","FALSE","FALSE",NA,NA,"TE","O",1942,"8/5/42","Portland, OR",48,72,"6'0","180","","Oregon","",NA,NA,NA,"pre-1940","1893-08-22","Sweet Home, OR",1893
"43","CaglCh20","Christian Keener Cagle","Chris Cagle","FALSE","FALSE",NA,NA,"RB/FB","O",1942,"12/23/42","New York, NY",37,70,"5'10","174","","La-Lafayette","",1933,NA,NA,"pre-1940","5/1/05","De Ridder, LA",1905
"44","FitzFr21","Freeman Charles Fitzgerald","Freeman Fitzgerald","FALSE","FALSE",NA,NA,"OL","O",1942,"5/6/42","Milwaukee, WI",50,72,"6'0","195","","Notre Dame","",NA,NA,NA,"pre-1940","1891-08-21","Jervis, OR",1891
"45","LencGe20","George F. Lenc","George Lenc","FALSE","FALSE",NA,NA,"TE","O",1942,"11/16/42","Pasco, WA",25,75,"6'3","204","","Augustana (IL)","Brooklyn Dodgers",1939,11,95,"pre-1940","3/17/17","Chicago, IL",1917
"46","MackRo20","Charles LeRoy Mackert","Roy Mackert","FALSE","FALSE",NA,NA,"OL","O",1942,"2/12/42","Washington, DC",48,74,"6'2","200","","Lebanon Valley","",NA,NA,NA,"pre-1940","1894-02-02","Sunbury, PA",1894
"47","McCaBi20","William Glass McCaw","Bill McCaw","FALSE","FALSE",NA,NA,"OL","O",1942,"4/19/42","Bloomington, IN",44,74,"6'2","194","","Indiana","",NA,NA,NA,"pre-1940","1898-02-06","St. Paul, MN",1898
"48","OConGr20","John Grattan O'Connell","Grat O'Connell","FALSE","FALSE",NA,NA,"TE","O",1942,"3/14/42","Simsbury, CT",39,71,"5'11","185","","Boston Col.","",NA,NA,NA,"pre-1940","1902-10-27","Thomaston, CT",1902
"49","RatiJo20","Joseph H. Ratica","Joe Ratica","FALSE","FALSE",NA,NA,"OL","O",1942,"10/21/42","",28,72,"6'0","205","","St. Vincent","",NA,NA,NA,"pre-1940","8/4/14","Dembo, PA",1914
"50","RislEl20","Elliott Clarence Risley","Elliott Risley","FALSE","FALSE",NA,NA,"OL","O",1942,"8/23/42","Dixon, IL",46,72,"6'0","207","","Indiana","",NA,NA,NA,"pre-1940","1896-01-24","Compton, IL",1896
"51","SachLe20","Leonard David Sachs","Lenny Sachs","FALSE","FALSE",NA,NA,"TE","O",1942,"10/27/42","Chicago, IL",45,68,"5'8","176","","American College of Physical Education","",NA,NA,NA,"pre-1940","1897-08-07","Chicago, IL",1897
"52","UndeJa20","John Patrick Underwood","Jack Underwood","FALSE","FALSE",NA,NA,"TE","O",1942,"6/21/42","Duluth, MN",44,72,"6'0","196","","none","",NA,NA,NA,"pre-1940","1897-08-28","Hinckley, MN",1897
"53","WerdRe20","Gerrard John Werder","Red Werder","FALSE","FALSE",NA,NA,"OL","O",1942,"4/11/42","Los Angeles, CA",47,71,"5'11","185","","Dayton","",NA,NA,NA,"pre-1940","1894-08-01","Pittsburgh, PA",1894
"54","AlleEd20","Edmund Joseph Allen","Ed Allen","FALSE","FALSE",NA,NA,"TE","O",1943,"2/20/43","",41,68,"5'8","175","","Creighton","",NA,NA,NA,"pre-1940","1901-06-05","Dixon, IL",1901
"55","BensHa20","Harry Hartley Benson","Harry Benson","FALSE","FALSE",NA,NA,"OL","O",1943,"5/17/43","Attu Island, AK",33,70,"5'10","218","","West. Maryland","",NA,NA,NA,"pre-1940","10/7/09","Baltimore, MD",1909
"56","BirlKe20","Keith G. Birlem","Keith Birlem","FALSE","FALSE",NA,NA,"RB/FB","O",1943,"5/7/43","Polebrook, U.K.",28,71,"5'11","198","","San Jose St.","",NA,NA,NA,"pre-1940","5/4/15","San Jose, CA",1915
"57","MacCMa20","Maxwell Speers MacCollum","Max MacCollum","FALSE","FALSE",NA,NA,"TE","O",1943,"9/25/43","Indianapolis, IN",43,71,"5'11","165","","Centre","",NA,NA,NA,"pre-1940","1900-02-22","Marietta, OH",1900
"58","SimiMi20","Milton Richard Simington","Milt Simington","TRUE","FALSE",1,1,"OL","O",1943,"1/17/43","Shreveport, LA",24,74,"6'2","217","","Arkansas","Cleveland Rams",1941,9,74,"pre-1940","8/26/18","Wright City, OK",1918
"59","SupuLe20","Leonard Peter Supulski","Len Supulski","FALSE","FALSE",NA,NA,"TE","O",1943,"8/31/43","near Kearney, NE",22,72,"6'0","175","","Dickinson","",NA,NA,NA,"1941 to 1959","12/15/20","Kingston, PA",1920
"60","WempDo20","Donald Lester Wemple","Don Wemple","FALSE","FALSE",NA,NA,"TE","O",1943,"6/23/43","India",25,74,"6'2","195","","Colgate","",NA,NA,NA,"pre-1940","10/14/17","Gloversville, NY",1917
"61","BascNi20","Michael Martin Basca","Nick Basca","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"11/11/44","France",27,68,"5'8","170","","Villanova","",1941,NA,NA,"pre-1940","12/4/16","Phoenixville, PA",1916
"62","HasbJo20","John Hutton Hasbrouck","John Hasbrouck","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"10/19/44","Port Ewen , NY",49,72,"6'0","190","","Rutgers","",NA,NA,NA,"pre-1940","1895-01-20","Port Ewen, NY",1895
"63","HintGr20","J.W. Hinton","Grassy Hinton","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"12/10/44","Halmahera Island, Indonesia",37,72,"6'0","185","","TCU","",NA,NA,NA,"pre-1940","6/30/07","Texas",1907
"64","HurlJo21","John J. Hurley","John Hurley","FALSE","FALSE",NA,NA,"TE","O",1944,"1/2/44","Italy",36,75,"6'3","192","","Washington St.","",NA,NA,NA,"pre-1940","1/9/07","San Francisco, CA",1907
"65","KetzAl20","Alexander Gregorieff Ketzko","Alex Ketzko","FALSE","FALSE",NA,NA,"OL","O",1944,"12/23/44","France,  ",25,71,"5'11","215","","Michigan St.","",NA,NA,NA,"pre-1940","11/19/19","Illinois",1919
"66","MoonJi20","James L. Mooney Jr.","Jim Mooney","FALSE","FALSE",NA,NA,"TE","O",1944,"8/12/44","",36,71,"5'11","200","","Georgetown (DC)","",1933,NA,NA,"pre-1940","9/16/07","Chicago, IL",1907
"67","MyerTo20","Thomas Edward Myers","Tommy Myers","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"7/1/44","New York, NY",43,68,"5'8","170","","Fordham","",NA,NA,NA,"pre-1940","1901-02-09","New Britain, CT",1901
"68","ScanDe20","Dewey D. Scanlon","Dewey Scanlon","FALSE","FALSE",NA,NA,"WR","O",1944,"9/24/44","St. Louis County, MN",45,69,"5'9","192","","Valparaiso","",NA,NA,NA,"pre-1940","1899-08-16","West Duluth, MN",1899
"69","SnelKe20","Kenneth Edward Snelling","Ken Snelling","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"9/17/44","Ruch, OR",25,72,"6'0","210","","UCLA","Green Bay Packers",1943,7,58,"pre-1940","12/11/18","Musselshell, MT",1918
"70","SonnGu20","Gustave Adolph Sonnenberg","Gus Sonnenberg","FALSE","TRUE",NA,NA,"OL","O",1944,"9/13/44","Bethesda, MD",46,66,"5'6","196","","Dartmouth","",1925,NA,NA,"pre-1940","1898-03-06","Ewen, MI",1898
"71","WettCh20","Chester Jerome Wetterlund","Chet Wetterlund","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"9/5/44","offshore, NJ",26,74,"6'2","185","","Illinois Wesleyan","Chicago Cardinals",1942,9,74,"pre-1940","3/19/18","Chicago, IL",1918
"72","YurcJo20","John Henry Yurchey","John Yurchey","FALSE","FALSE",NA,NA,"RB/FB","O",1944,"6/1/44","Bridgeville, PA",26,71,"5'11","188","","Duquesne","",NA,NA,NA,"pre-1940","11/12/17","Bridgeville, PA",1917
"73","BehaCh20","Charles Edward Behan","Charlie Behan","FALSE","FALSE",NA,NA,"TE","O",1945,"5/18/45","Okinawa, Japan",24,75,"6'3","195","","Northern Illinois","",NA,NA,NA,"1941 to 1959","8/4/20","Crystal Lake, IL",1920
"74","BlozAl20","Alfred Charles Blozis","Al Blozis","TRUE","TRUE",1,1,"OL","O",1945,"1/31/45","Colmar , France",26,78,"6'6","250","","Georgetown (DC)","New York Giants",1942,NA,NA,"pre-1940","1/5/19","Garfield, NJ",1919
"75","BraiCh20","Charles G. Braidwood","Chuck Braidwood","FALSE","FALSE",NA,NA,"TE","O",1945,"1/8/45","",41,72,"6'0","199","","Loyola (IL)","",NA,NA,NA,"pre-1940","1903-10-15","",1903
"76","BuckTe21","Theodore Henry Bucklin","Ted Bucklin","FALSE","FALSE",NA,NA,"RB/FB","O",1945,"10/20/45","Idaho Falls, ID",42,72,"6'0","199","","Idaho","",NA,NA,NA,"pre-1940","1903-05-09","Idaho Falls, ID",1903
"77","BurdLl20","Lloyd Sumner Burdick","Lloyd Burdick","FALSE","FALSE",NA,NA,"OL","O",1945,"8/9/45","Michigan , ND",37,76,"6'4","248","","Illinois","",NA,NA,NA,"pre-1940","8/8/08","Assumption, IL",1908
"78","GausDu20","Arthur Millert Gaustad","Dutch Gaustad","FALSE","FALSE",NA,NA,"OL","O",1945,"3/23/45","Hennepin County, MN",55,NA,"","FALSE","","none","",NA,NA,NA,"pre-1940","1889-06-06","Minneapolis, MN",1889
"79","GermJi20","James H. German","Jimmy German","FALSE","FALSE",NA,NA,"RB/FB","O",1945,"8/8/45","",27,72,"6'0","180","","Centre","Washington Redskins",1939,NA,NA,"pre-1940","11/6/17","Louisville, KY",1917
"80","GrubFr20","Franklin Thomas Grube","Frank Grube","FALSE","FALSE",NA,NA,"TE","O",1945,"7/2/45","New York, NY",40,69,"5'9","180","","Lafayette","",NA,NA,NA,"pre-1940","1/7/05","Easton, PA",1905
"81","JohnSm20","Howard White Johnson","Smiley Johnson","FALSE","FALSE",NA,NA,"OL","O",1945,"2/26/45","",28,69,"5'9","198","","Georgia","",NA,NA,NA,"pre-1940","9/22/16","Nashville, TN",1916
"82","KahnEd20","Edwin Bernard Kahn","Eddie Kahn","FALSE","FALSE",NA,NA,"OL","O",1945,"2/17/45","Leyte, Phillipines",33,69,"5'9","194","","North Carolina","",1937,NA,NA,"pre-1940","11/9/11","New York, NY",1911
"83","LummJa20","Andrew Jackson Lummus Jr.","Jack Lummus","FALSE","FALSE",NA,NA,"TE","O",1945,"3/8/45","Iwo Jima, Japan",27,75,"6'3","200","","Baylor","",NA,NA,NA,"pre-1940","10/22/17","Ennis, TX",1917
"84","MagnGl20","Glen Edward Magnusson","Glen Magnusson","FALSE","FALSE",NA,NA,"OL","O",1945,"1/7/45","Chicago, IL",45,71,"5'11","225","","Northwestern","",NA,NA,NA,"pre-1940","1899-07-30","Salt Lake City, UT",1899
"85","PearBe20","Madison B. Pearson","Bert Pearson","FALSE","FALSE",NA,NA,"OL","O",1945,"5/1/45","Malheur County, OR",40,72,"6'0","206","","Kansas St.","",NA,NA,NA,"pre-1940","3/22/05","Manhattan, KS",1905
"86","RobeRe20","James Madison Roberts","Red Roberts","FALSE","FALSE",NA,NA,"OL","O",1945,"6/27/45","Middlesboro, KY",44,73,"6'1","235","","Centre","",NA,NA,NA,"pre-1940","1900-08-23","Somerset, KY",1900
"87","SeasGe20","George Donald Seasholtz","George Seasholtz","FALSE","FALSE",NA,NA,"RB/FB","O",1945,"4/11/45","Pottstown , PA",44,68,"5'8","185","","Lafayette","",NA,NA,NA,"pre-1940","1900-11-14","Pottstown, PA",1900
"88","WintSo20","Lingel A. Winters","Sonny Winters","FALSE","FALSE",NA,NA,"RB/FB","O",1945,"10/5/45","Ashland, KY",45,67,"5'7","155","","Ohio Wesleyan","",NA,NA,NA,"pre-1940","1900-06-02","Napoleon, OH",1900
"89","YounWa20","Walter Roland Young","Waddy Young","FALSE","FALSE",NA,NA,"TE","O",1945,"1/9/45","Tokyo, Japan",28,75,"6'3","205","","Oklahoma","Brooklyn Dodgers",1939,3,20,"pre-1940","9/4/16","Ponca City, OK",1916
"90","BussYo20","Ruey Young Bussey","Young Bussey","TRUE","FALSE",1,1,"QB","O",1946,"1/12/46","Lingayen Gulf, Phillipines",28,69,"5'9","184","","LSU","Chicago Bears",1940,NA,NA,"pre-1940","10/4/17","Timpson, TX",1917
"91","HaleAr20","Arthur Read Haley","Art Haley","FALSE","FALSE",NA,NA,"RB/FB","O",1946,"2/14/46","Zanesville, OH",50,68,"5'8","165","","Akron","",NA,NA,NA,"pre-1940","1895-10-07","Beaver Falls, PA",1895
"92","HannDu20","Frank Matthew Hanny","Duke Hanny","FALSE","FALSE",NA,NA,"TE","O",1946,"9/3/46","Aurora, IL",48,72,"6'0","199","","Indiana","",NA,NA,NA,"pre-1940","1897-12-10","Aurora, IL",1897
"93","HudsJo21","John Randolph Hudson","Johnnie Hudson","FALSE","FALSE",NA,NA,"RB/FB","O",1946,"10/1/46","Kanapolis, NC",47,69,"5'9","170","","North Carolina St.","",NA,NA,NA,"pre-1940","1898-10-07","Shelby, NC",1898
"94","JackDo20","Donald Fletcher Jackson","Don Jackson","FALSE","FALSE",NA,NA,"RB/FB","O",1946,"8/25/46","Dallas, TX",32,71,"5'11","184","","North Carolina","",1936,NA,NA,"pre-1940","11/14/13","",1913
"95","LedbDo20","Homer Carroll Ledbetter","Doc Ledbetter","FALSE","FALSE",NA,NA,"RB/FB","O",1946,"10/22/46","near Raton, NM",36,70,"5'10","190","","Arkansas","",1932,NA,NA,"pre-1940","1/25/10","Huntsville, AR",1910
"96","BeckJo21","John W. Becker","Johnnie Becker","FALSE","FALSE",NA,NA,"OL","O",1947,"9/17/47","  ",44,71,"5'11","208","","Dayton","",NA,NA,NA,"pre-1940","1903-02-10","",1903
"97","BricGe20","George Vincent Brickley","George Brickley","FALSE","FALSE",NA,NA,"RB/FB","O",1947,"2/23/47","Everett, MA",52,70,"5'10","190","","Trinity (CT)","",NA,NA,NA,"pre-1940","1894-07-19","Everett, MA",1894
"98","BurkJe20","Jefferson Davis Burkett","Jeff Burkett","FALSE","FALSE",NA,NA,"TE","O",1947,"10/24/47","Bryce Canyon, UT",26,73,"6'1","190","","LSU","",NA,NA,NA,"1941 to 1959","7/15/21","Hattiesburg, MS",1921
"99","CharLe20","Leonard Louis Charpier","Len Charpier","FALSE","FALSE",NA,NA,"RB/FB","O",1947,"10/3/47","Chicago, IL",50,70,"5'10","235","","Illinois","",NA,NA,NA,"pre-1940","1897-02-17","Washington Heights, IL",1897
"100","FortBi20","William Peter Fortune","Bill Fortune","FALSE","FALSE",NA,NA,"OL","O",1947,"3/12/47","Chicago, IL",49,71,"5'11","218","","Michigan","",NA,NA,NA,"pre-1940","1897-10-14","Joliet, IL",1897
"101","HenrWi20","Wilbur Amos Henry","Wilbur Henry","FALSE","FALSE",NA,NA,"OL","O",1947,"11/9/47","Los Angeles, CA",55,70,"5'10","185","","Stanford","",NA,NA,NA,"pre-1940","1891-12-04","Los Angeles, CA",1891
"102","HewiBi20","William Ernest Hewitt","Bill Hewitt","FALSE","TRUE",NA,NA,"TE","O",1947,"1/14/47","Sellersville, PA",37,69,"5'9","190","","Michigan","",1933,NA,NA,"pre-1940","10/8/09","Bay City, MI",1909
"103","KittPa20","Paul John Kittredge","Paul Kittredge","FALSE","FALSE",NA,NA,"RB/FB","O",1947,"3/2/47","Groton, CT",42,70,"5'10","170","","Holy Cross","",NA,NA,NA,"pre-1940","10/9/04","Clinton, MA",1904
"104","AshmRo20","Marion Charles Ashmore","Roger Ashmore","FALSE","FALSE",NA,NA,"OL","O",1948,"2/26/48","Aberdeen, WA",48,72,"6'0","215","","Gonzaga","",NA,NA,NA,"pre-1940","1899-07-09","Illinois",1899
"105","CalcRa20","Ralph Cleo Calcagni","Ralph Calcagni","FALSE","FALSE",NA,NA,"OL","O",1948,"8/29/48","Meadville, PA",26,75,"6'3","230","","Cornell","Boston Yanks",1944,NA,NA,"1941 to 1959","2/6/22","Smithton, PA",1922
"106","FultKe20","Kenneth LeRoy Fulton","Ken Fulton","FALSE","FALSE",NA,NA,"OL","O",1948,"3/12/48","Muncie, IN",48,NA,"","FALSE","","none","",NA,NA,NA,"pre-1940","1899-06-05","Muncie, IN",1899
"107","GillHa20","Henry Charles Gillo","Hank Gillo","FALSE","FALSE",NA,NA,"RB/FB","O",1948,"9/6/48","Milwaukee, WI",53,70,"5'10","195","","Colgate","",NA,NA,NA,"pre-1940","1894-10-05","Milwaukee, WI",1894
"108","JollAl20","Alvin Jay Jolley","Al Jolley","FALSE","FALSE",NA,NA,"OL","O",1948,"8/26/48","Marietta, OH",48,74,"6'2","220","","Tulsa","",NA,NA,NA,"pre-1940","1899-09-29","Onago, KS",1899
"109","MaulSt20","Stanley Hubert Mauldin","Stan Mauldin","FALSE","FALSE",NA,NA,"OL","O",1948,"9/25/48","Chicago, IL",27,74,"6'2","225","","Texas","Chicago Cardinals",1943,7,53,"1941 to 1959","12/27/20","Amarillo, TX",1920
"110","MeriLo20","Louis Alfred Merillat Jr.","Lou Merillat","FALSE","FALSE",NA,NA,"TE","O",1948,"4/26/48","Chicago, IL",55,69,"5'9","165","","Illinois Tech","",NA,NA,NA,"pre-1940","1892-06-09","Chicago, IL",1892
"111","RuppNe20","Nelson Gadd Rupp","Nelson Rupp","FALSE","FALSE",NA,NA,"WR","O",1948,"8/9/48","South Norwalk, CT",57,70,"5'10","180","","Denison","",NA,NA,NA,"pre-1940","1891-06-15","Cincinnati, OH",1891
